{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_TTBar_Effs[i]}
1200 1000 -1.0 0.0 nan nan nan nan
1200 80 0.99 4510.131228258999 0.13181217335235507 0.0 nan 0.0
4000 1000 -1.0 0.0 nan nan nan nan
650 90 -1.0 0.0 nan 1.0 nan 1.0
1800 1400 -1.0 0.0 nan nan nan nan
2000 150 0.97 15509.748136884096 0.5536108634870937 0.001306704288589042 nan 0.001306704288589042
800 600 -1.0 0.0 nan nan nan nan
1600 70 0.96 14181.774295316642 0.6113688838083733 0.0014852054990349757 nan 0.0014852054990349757
3500 300 0.9100000000000001 42793.23709980574 0.7593218951762989 0.0013612547752074222 nan 0.0013612547752074222
4000 3500 -1.0 0.0 nan nan nan nan
500 70 -1.0 0.0 nan 1.0 nan 1.0
1000 150 0.96 398.4961115412953 0.2827269999619374 0.0021407206577797075 nan 0.0021407206577797075
3500 1200 -1.0 0.0 nan nan nan nan
1400 90 0.94 6660.362348865708 0.5383175917646593 0.003188867691578585 nan 0.003188867691578585
2500 500 0.8900000000000001 5086.370729738364 0.718272277537605 0.0 nan 0.0
4000 2000 -1.0 0.0 nan nan nan nan
800 200 0.7 2.605583031530088 0.7352419999091437 0.021043742773047384 nan 0.021043742773047384
650 150 -0.55 1.5749680120466776 1.0 0.6580207433159293 nan 0.6580207433159293
4000 100 -0.53 62661.090758820574 0.9674920989454765 0.015458267805945634 nan 0.015458267805945634
1400 500 -0.36 11.37932511110068 0.8201228009368268 0.0 nan 0.0
2500 80 0.6500000000000001 34670.56820476117 0.9123012174383908 0.0059406000475157655 nan 0.0059406000475157655
1200 800 -1.0 0.0 nan nan nan nan
1400 95 0.94 6432.961210319089 0.5278789937776692 0.0034117090502513592 nan 0.0034117090502513592
1400 400 0.8800000000000001 45.19004071119257 0.44688798781094097 0.014516752119946973 nan 0.014516752119946973
500 200 -1.0 0.0 nan 1.0 nan 1.0
600 400 -1.0 0.0 nan nan nan nan
4000 80 0.8800000000000001 62259.92842689527 0.8115694712732678 0.0 nan 0.0
1000 100 0.94 856.5210445551335 0.31070969026099354 0.002775793932176001 nan 0.002775793932176001
1800 1200 -1.0 0.0 nan nan nan nan
3000 800 -1.0 12.72593132342855 1.0 nan nan nan
2500 1800 -1.0 0.0 nan nan nan nan
400 100 -1.0 0.0 nan nan nan nan
1600 200 0.98 6539.039921077038 0.3486398650690835 0.0005492727181823557 nan 0.0005492727181823557
550 200 -1.0 0.0 nan 1.0 nan 1.0
800 500 -1.0 0.0 nan nan nan nan
800 80 -0.41000000000000003 15.448380681863537 0.6934547854016604 0.0 nan 0.0
550 60 -0.37 1.4947244498176813 1.0 0.0 nan 0.0
500 90 -1.0 0.0 nan 1.0 nan 1.0
400 60 -1.0 0.0 nan nan nan nan
1400 70 0.99 8600.786663199637 0.18441745659815778 0.0 nan 0.0
1200 70 0.99 5108.629259345869 0.15114879392117217 0.0 nan 0.0
650 60 -0.37 0.8042085858067666 1.0 0.0 nan 0.0
1600 600 -1.0 1.4200916318851462 1.0 nan nan nan
3000 150 0.98 32750.30473981609 0.45819384148488274 0.0 nan 0.0
3000 80 0.9299999999999999 37593.283794924 0.7157264321306793 0.004033446215160654 nan 0.004033446215160654
650 400 -1.0 0.0 nan nan nan nan
1600 1400 -1.0 0.0 nan nan nan nan
1200 300 0.9100000000000001 77.1208416849224 0.38557826551136143 0.006099779000065938 nan 0.006099779000065938
1000 80 0.96 905.6890449609594 0.29943958380294916 0.0019267941700201686 nan 0.0019267941700201686
3000 1000 -1.0 0.0 nan nan nan nan
500 95 -1.0 0.0 nan 1.0 nan 1.0
1800 300 0.97 7301.620659905621 0.5486021234868375 0.0015454991883964554 nan 0.0015454991883964554
600 150 -0.37 3.328798156130649 1.0 0.0 nan 0.0
1600 100 0.94 10183.39446448996 0.5691458989989461 0.0030484273552008018 nan 0.0030484273552008018
600 300 -1.0 0.0 nan 1.0 nan 1.0
4000 60 0.8800000000000001 63531.853862169846 0.8293083542748301 0.0 nan 0.0
4000 150 -0.53 66127.54395296355 0.9674748431818393 0.0026703236212994013 nan 0.0026703236212994013
1600 80 0.96 12447.861769881867 0.5878455729974833 0.0017368443488672968 nan 0.0017368443488672968
900 95 -0.36 116.66647529889174 0.6287816815707905 0.0216896457544962 nan 0.0216896457544962
3000 600 -0.59 6321.035349734211 0.9805329021506372 0.0 nan 0.0
500 300 -1.0 0.0 nan nan nan nan
1000 600 -1.0 0.0 nan nan nan nan
3500 200 -0.36 35662.654619000255 0.94251374678386 0.032237415747898464 nan 0.032237415747898464
3500 100 -0.36 41894.73523557709 0.9572915455746467 0.0496375730353877 nan 0.0496375730353877
3500 3000 -1.0 0.0 nan nan nan nan
3500 60 0.8900000000000001 59996.88240170465 0.8069238515788348 0.0 nan 0.0
3000 1600 -1.0 0.0 nan nan nan nan
1800 800 -1.0 0.0 nan nan nan nan
