{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_QCDPtoFs[i]} {best_TTBar_Effs[i]}
1600 70 0.975 2216.6449068651264 0.29491940675283573 0.00026761024926852704 0.0002731832840709047 0.00027325793357059594 0.0001442897640429967
2500 600 0.975 83.25734735712076 0.28162377268138405 0.0 0.0 0.0 0.0
2000 800 0.0 0.0 nan 0.0 0.0 0.0 0.0
1400 150 0.975 1438.3161850267297 0.27052599260112015 0.0002503777154342661 0.0002752242425679211 0.0002753000118051491 0.00020155447264556226
500 150 0.0 0.0 nan 0.0 0.0 0.0 0.0
2500 2000 0.0 0.0 nan nan nan nan nan
2500 1600 0.0 0.0 nan nan nan nan nan
3000 1000 0.0 0.0 nan nan nan nan nan
3500 3000 0.0 0.0 nan nan nan nan nan
650 80 0.725 0.48113029584567046 0.6002284692979842 0.0 0.0 0.0 0.0
4000 3500 0.0 0.0 nan nan nan nan nan
1800 1200 0.0 0.0 nan nan nan nan nan
550 400 0.0 0.0 nan nan nan nan nan
3500 1400 0.0 0.0 nan nan nan nan nan
650 400 0.0 0.0 nan 0.0 0.0 0.0 0.0
4000 800 0.35000000000000003 1053.637705662166 0.839801105940754 0.0 0.0 0.0 nan
1800 60 0.97 3127.610495432686 0.33687588363494586 0.00033773471666258487 0.0003468143632358181 0.000346934685167739 8.819669366926762e-05
400 70 0.0 0.0 nan nan nan nan nan
550 90 0.725 0.0 nan 0.0 0.0 0.0 0.0
1800 200 0.97 2200.104474683901 0.3186078912944632 0.0003867232713550402 0.0004467451190738093 0.00044694478947700364 0.0002846820138004421
1000 200 0.98 32.08722177882725 0.14566255939239792 0.00016190356933020326 0.00015521615470604535 0.00015524025050078367 0.0001695664810196813
1600 600 0.535 0.0 0.0 0.06523889456456192 0.0 0.0 0.22263435887047583
550 80 0.725 0.0 nan 0.0 0.0 0.0 0.0
3500 2600 0.0 0.0 nan nan nan nan nan
1800 1400 0.0 0.0 nan nan nan nan nan
1200 60 0.98 829.4399427049389 0.25783691750211557 0.0003402355101237277 0.0003441372319321581 0.00034425570313691253 0.00025753071663753437
1800 1600 0.0 0.0 nan nan nan nan nan
3500 1000 0.0 0.0 nan nan nan nan nan
1400 300 0.975 133.2400016462924 0.18637461794478105 0.00040649396733797693 0.00038450940732364237 0.0003846573116785786 0.0004922957694769892
1400 400 0.98 3.124424694568573 0.03337813693364694 0.0 0.0 0.0 0.0
550 70 0.705 0.0 nan 0.0 0.0 0.0 0.0
1200 95 0.975 526.4509839421274 0.19285450774534216 0.0004186786981136693 0.0004253982270214636 0.0004255792676873949 0.0003317195780196192
3000 500 0.97 4031.3639728584353 0.45408612452347197 0.0022824470189038715 0.0024895419525651414 0.002495755239938302 0.0
1400 1000 0.0 0.0 nan 1.0 nan nan 1.0
2000 1800 0.0 0.0 nan nan nan nan nan
3000 2600 0.0 0.0 nan nan nan nan nan
3500 70 0.765 10331.392295336655 0.6769137808580935 0.0043759645833481905 0.0044022235221109025 0.0044216887844854185 0.002840732167005521
1600 95 0.975 1537.3948516819848 0.19479448653543266 0.0002079815069802124 0.00021320502116277883 0.00021325048723742327 0.0001294457031490693
1800 90 0.97 2062.355558980284 0.26808650956148655 0.0004067841513678372 0.0004217674742547566 0.0004219454371160424 0.00012161900100407859
3000 800 0.35000000000000003 8.841538535933587 0.9281660051453654 0.0 0.0 0.0 nan
4000 600 0.975 6584.1774777459805 0.41092250317829204 0.0 0.0 0.0 0.0
3000 1600 0.0 0.0 nan nan nan nan nan
1200 600 0.705 0.0 nan 0.0 0.0 0.0 0.0
3500 600 0.97 5106.481024753439 0.4878845245054675 0.0 0.0 0.0 0.0
700 60 0.73 2.8870141600218333 0.8240873096750964 0.0 0.0 0.0 0.0
1600 90 0.975 1612.877718297645 0.23379846072773458 0.00026487561016200347 0.00027226133276411524 0.000272335479184637 0.00013891799232498557
4000 3000 0.0 0.0 nan nan nan nan nan
600 70 0.705 0.3986936858544 1.0 0.0 0.0 0.0 0.0
3500 400 0.965 7208.420685013198 0.42769948583206274 0.0026595874310706685 0.0028850323690731592 0.002893379863635773 0.0
