{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_QCDPtoFs[i]} {best_TTBar_Effs[i]}
1150 493 0.9469896365771376 nan nan nan nan 0.0004603618582914771 nan
1200 40 0.9674458135258337 nan nan nan nan 0.0004614585660980383 nan
1200 50 0.9731892324382238 nan nan nan nan 0.0004614585660980383 nan
1150 281 0.9452143668146603 nan nan nan nan 0.0004603618582914771 nan
1150 958 0.9474063818447654 nan nan nan nan 0.0004603618582914771 nan
1100 792 0.9478682312130453 nan nan nan nan 0.00045935451869875174 nan
950 792 0.948212175175954 nan nan nan nan 0.00045679880386607035 nan
1150 655 0.947441712516857 nan nan nan nan 0.0004603618582914771 nan
1200 146 0.9666273850672327 nan nan nan nan 0.00046145856609803833 nan
1050 309 0.9453524693713171 nan nan nan nan 0.0004584292649082695 nan
1050 958 0.9474206482533517 nan nan nan nan 0.00045842926490826947 nan
600 110 0.9667199734469533 nan nan nan nan 0.00045285309083693755 nan
550 256 0.9614341588270116 nan nan nan nan 0.0004524576235510432 nan
950 80 0.9663967355137356 nan nan nan nan 0.0004567988038660703 nan
900 146 0.9612170976106161 nan nan nan nan 0.0004560818094390246 nan
950 90 0.9663881191484813 nan nan nan nan 0.0004567988038660703 nan
950 100 0.9662559211772328 nan nan nan nan 0.0004567988038660703 nan
700 133 0.9667184350776353 nan nan nan nan 0.00045375239211292045 nan
3900 2053 0.0 nan nan nan nan nan nan
950 121 0.9606958135504484 nan nan nan nan 0.0004567988038660703 nan
950 160 0.9615829733164607 nan nan nan nan 0.00045679880386607024 nan
950 110 0.9664887444743072 nan nan nan nan 0.00045679880386607035 nan
950 176 0.961719236711776 nan nan nan nan 0.00045679880386607035 nan
950 212 0.9246352832955094 nan nan nan nan 0.0004567988038660703 nan
950 133 0.9610425113034852 nan nan nan nan 0.0004567988038660703 nan
950 233 0.8599202550179814 nan nan nan nan 0.0004567988038660703 nan
950 193 0.9217476094422828 nan nan nan nan 0.0004567988038660703 nan
950 409 0.9463450998533192 nan nan nan nan 0.0004567988038660703 nan
950 146 0.9613085548900815 nan nan nan nan 0.0004567988038660703 nan
950 256 0.8655858989608346 nan nan nan nan 0.00045679880386607035 nan
950 309 0.9454079734512396 nan nan nan nan 0.0004567988038660703 nan
950 281 0.8673596537782488 nan nan nan nan 0.0004567988038660703 nan
1000 50 0.980230429536142 nan nan nan nan 0.0004575794079355226 nan
950 449 0.9461212930942957 nan nan nan nan 0.00045679880386607024 nan
850 176 0.9614246303048091 nan nan nan nan 0.00045542324124993577 nan
950 70 0.966408075235899 nan nan nan nan 0.0004567988038660703 nan
900 542 0.9469850756438773 nan nan nan nan 0.0004560818094390246 nan
700 176 0.9610332334825008 nan nan nan nan 0.00045375239211292045 nan
900 596 0.9470973628070537 nan nan nan nan 0.0004560818094390246 nan
850 449 0.9462605481245648 nan nan nan nan 0.0004554232412499357 nan
900 160 0.9614131692926914 nan nan nan nan 0.0004560818094390246 nan
800 493 0.9462109131615363 nan nan nan nan 0.0004548183382781416 nan
800 233 0.9216594652057843 nan nan nan nan 0.0004548183382781416 nan
900 655 0.9476221477090891 nan nan nan nan 0.0004560818094390246 nan
850 655 0.9477811187360712 nan nan nan nan 0.0004554232412499358 nan
800 176 0.9612093499658187 nan nan nan nan 0.0004548183382781416 nan
800 121 0.966632472325508 nan nan nan nan 0.0004548183382781416 nan
800 146 0.961000688917988 nan nan nan nan 0.0004548183382781416 nan
900 212 0.9217275536127135 nan nan nan nan 0.0004560818094390246 nan
550 160 0.9666605659773189 nan nan nan nan 0.00045245762355104323 nan
350 233 0.9667308738002601 nan nan nan nan 0.0004511728041536803 nan
900 256 0.8599288963091174 nan nan nan nan 0.00045608180943902465 nan
700 70 0.9665105824328438 nan nan nan nan 0.00045375239211292045 nan
550 100 0.9666618726272651 nan nan nan nan 0.0004524576235510432 nan
650 281 0.8599928626285094 nan nan nan nan 0.00045328364282041156 nan
950 40 0.980188188491203 nan nan nan nan 0.0004567988038660703 nan
900 339 0.9453187098251395 nan nan nan nan 0.0004560818094390246 nan
850 50 0.9663969897440395 nan nan nan nan 0.00045542324124993577 nan
900 792 0.9483139426137706 nan nan nan nan 0.0004560818094390246 nan
600 146 0.9667186970038201 nan nan nan nan 0.0004528530908369376 nan
800 160 0.961146695010119 nan nan nan nan 0.0004548183382781416 nan
950 50 0.9801006379640557 nan nan nan nan 0.0004567988038660703 nan
750 233 0.9617705009110903 nan nan nan nan 0.00045426272746767777 nan
450 409 0.8657350810920246 nan nan nan nan 0.0004517607401556467 nan
800 449 0.9463454202988996 nan nan nan nan 0.00045481833827814167 nan
600 339 0.8657584144138097 nan nan nan nan 0.0004528530908369375 nan
650 449 0.9451488107383864 nan nan nan nan 0.00045328364282041156 nan
900 70 0.9663836608781052 nan nan nan nan 0.0004560818094390246 nan
450 372 0.8599294773230411 nan nan nan nan 0.0004517607401556466 nan
900 133 0.9611126018228786 nan nan nan nan 0.0004560818094390246 nan
700 233 0.9615442125642313 nan nan nan nan 0.00045375239211292045 nan
850 409 0.9450642435410135 nan nan nan nan 0.00045542324124993577 nan
350 100 0.9666629496726288 nan nan nan nan 0.0004511728041536803 nan
500 110 0.9667200059967509 nan nan nan nan 0.0004520943819908704 nan
700 256 0.9217533474361722 nan nan nan nan 0.00045375239211292045 nan
800 80 0.9664381966656006 nan nan nan nan 0.0004548183382781416 nan
550 40 0.9665614426730027 nan nan nan nan 0.00045245762355104323 nan
700 309 0.8599268220309708 nan nan nan nan 0.00045375239211292045 nan
650 212 0.9613012907912966 nan nan nan nan 0.00045328364282041145 nan
900 176 0.9615673817787277 nan nan nan nan 0.0004560818094390246 nan
800 542 0.9470728327114365 nan nan nan nan 0.00045481833827814167 nan
900 871 0.9474574958376754 nan nan nan nan 0.0004560818094390246 nan
500 50 0.9667331685549068 nan nan nan nan 0.00045209438199087047 nan
800 40 0.9663744953054949 nan nan nan nan 0.0004548183382781416 nan
850 542 0.9470321360121469 nan nan nan nan 0.0004554232412499358 nan
750 409 0.9453099229429348 nan nan nan nan 0.00045426272746767777 nan
850 720 0.9474779744977839 nan nan nan nan 0.0004554232412499358 nan
850 193 0.9615046323068578 nan nan nan nan 0.0004554232412499357 nan
800 193 0.9614112111921548 nan nan nan nan 0.0004548183382781416 nan
800 212 0.9616465949162883 nan nan nan nan 0.0004548183382781416 nan
1150 80 0.9802825357409068 nan nan nan nan 0.0004603618582914771 nan
1150 70 0.98000519746841 nan nan nan nan 0.0004603618582914771 nan
1200 339 0.9465536713173432 nan nan nan nan 0.0004614585660980382 nan
1250 50 0.9731304903242547 nan nan nan nan 0.0004626525706042227 nan
1200 233 0.9454324091794328 nan nan nan nan 0.0004614585660980382 nan
1100 958 0.9474130983737934 nan nan nan nan 0.0004593545186987518 nan
1200 309 0.9451356218253423 nan nan nan nan 0.0004614585660980382 nan
1150 449 0.9464669889340389 nan nan nan nan 0.0004603618582914771 nan
1200 70 0.980009759098524 nan nan nan nan 0.0004614585660980382 nan
1250 70 0.9801571403461276 nan nan nan nan 0.0004626525706042227 nan
1200 160 0.9616921545369641 nan nan nan nan 0.00046145856609803817 nan
1100 1053 0.9474115069440462 nan nan nan nan 0.00045935451869875174 nan
1200 133 0.9668268905548463 nan nan nan nan 0.00046145856609803817 nan
1250 110 0.9664334781502829 nan nan nan nan 0.0004626525706042227 nan
1200 256 0.945369676013611 nan nan nan nan 0.00046145856609803817 nan
1200 121 0.9664101827976561 nan nan nan nan 0.00046145856609803817 nan
1200 596 0.9474949145553124 nan nan nan nan 0.0004614585660980382 nan
1250 212 0.9454877622705803 nan nan nan nan 0.0004626525706042227 nan
1200 80 0.9803794723129823 nan nan nan nan 0.0004614585660980383 nan
1100 449 0.9464992135936503 nan nan nan nan 0.00045935451869875174 nan
1050 133 0.9608101686961433 nan nan nan nan 0.0004584292649082695 nan
1200 871 0.9474157676512673 nan nan nan nan 0.0004614585660980382 nan
1250 1153 0.9473870704733679 nan nan nan nan 0.0004626525706042227 nan
1250 792 0.9475113616707863 nan nan nan nan 0.00046265257060422265 nan
1100 256 0.9454661187528404 nan nan nan nan 0.00045935451869875174 nan
1250 160 0.9359901000955647 nan nan nan nan 0.0004626525706042227 nan
1200 100 0.9660039146827646 nan nan nan nan 0.0004614585660980382 nan
1150 309 0.9452770705094146 nan nan nan nan 0.0004603618582914771 nan
1300 100 0.9662605432912964 nan nan nan nan 0.00046395250368782057 nan
1200 792 0.9476359291555083 nan nan nan nan 0.0004614585660980382 nan
1250 542 0.9488065128291624 nan nan nan nan 0.00046265257060422275 nan
